KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
 6.0132246     0.94944274    
 4.8456206     0.89128625    
 4.1926074     0.83449644    
 3.4865751     0.78311110    
 2.9973226     0.71569043    
 2.6503592     0.63130927    
 2.6152704     0.52700651    
 2.3285787     0.42195576    
 2.2110319     0.37580195    
 2.5229483     0.40935475    
 2.4697247     0.46318582    
 1.6823319     0.47869962    
 1.6044216     0.44436821    
 1.5075989     0.38611549    
 1.6711285     0.37082824    
 1.5391073     0.41999814    
 1.3114069     0.47420752    
 1.8407785     0.49789119    
 2.4513588     0.50181973    
 3.3890104     0.51632392    
 4.4603891     0.53775090    
 4.0969577     0.54484862    
 3.8960402     0.54109699    
 3.9567416     0.54183960    
 3.1408882     0.54485619    
 2.7070677     0.54677880    
 2.4236612     0.55075991    
 1.9706070     0.58313370    
 2.7195308     0.64443666    
 3.5717733     0.71761161    
 4.8832273     0.78104877    
 5.7662950     0.80930740    
 6.5210829     0.80014074    
 7.4561934     0.74290830    
 8.2295713     0.63821870    
 8.8241653     0.48356563    
 9.3144808     0.29169464    
 9.6031189     0.13068819    
 9.5205269     0.18648335    
 9.4327030     0.27041259    
 9.5838337     0.24560513    
 9.9918985     0.13809688    
 10.475449     0.16736007    
 11.056842     0.28505379    
 11.880429     0.31670684    
 12.788246     0.23746412    
 13.594455     0.88021949E-01
 13.287519     0.17046942    
 12.313082     0.38370082    
 11.511422     0.56876487    
 10.556763     0.72025567    
 5.6761217     0.89046764    
 4.3071475     0.81932241    
 3.8754234     0.75798720    
 3.2602534     0.70329052    
 2.8207440     0.63293755    
 2.5339332     0.54016274    
 2.5318408     0.41736475    
 2.6317704     0.29064491    
 2.5852761     0.26092148    
 3.0752025     0.34217212    
 2.5870624     0.41239426    
 1.9072278     0.41575107    
 1.7442604     0.35057753    
 1.6857615     0.26279327    
 1.5343868     0.26971954    
 1.3641118     0.35482275    
 1.1738310     0.40949026    
 1.7614181     0.41460785    
 2.4718847     0.40759864    
 3.4731684     0.42977464    
 4.8879333     0.45186204    
 4.2359991     0.45717889    
 3.9265270     0.44703621    
 3.6385505     0.45040289    
 2.7980328     0.46373183    
 2.2269545     0.45986682    
 1.8902551     0.46070114    
 1.5231700     0.50705516    
 2.3889749     0.59170043    
 3.5655069     0.68221778    
 5.3248711     0.75122994    
 6.3224525     0.78668433    
 6.8826284     0.77101636    
 7.6012950     0.70641643    
 8.2356119     0.58879316    
 8.7053881     0.41619623    
 9.0952997     0.19498585    
 9.2940321     0.28892772E-01
 8.9788542     0.17897148    
 8.8367348     0.25164005    
 9.0422449     0.18598798    
 9.5930262     0.30960197E-01
 10.120612     0.15667103    
 10.843759     0.28466579    
 11.742262     0.29375571    
 12.726408     0.18456341    
 13.493087     0.36746111E-01
 13.009033     0.20941758    
 12.141511     0.42733628    
 11.163523     0.60645401    
 10.217408     0.75018543    
 5.1013079     0.81734610    
 4.2693901     0.73976743    
 3.5967155     0.67312676    
 2.6565261     0.61615461    
 2.7436090     0.55033678    
 2.4984400     0.45194855    
 2.4594932     0.30872780    
 2.7063055     0.14835756    
 3.4503665     0.17249015    
 3.5480750     0.30846959    
 3.0019751     0.37905076    
 2.3996954     0.35975310    
 2.1121058     0.25379503    
 1.7013810     0.12821665    
 1.4061507     0.19733101    
 1.2908405     0.31217331    
 1.1313474     0.34763810    
 1.6927900     0.32029229    
 2.8181689     0.30665112    
 3.9292197     0.34812927    
 5.0914483     0.37549445    
 4.5612421     0.36002788    
 4.3438482     0.34369376    
 3.4715729     0.36721265    
 2.5039492     0.38420600    
 1.8030319     0.36493498    
 1.4136939     0.36279824    
 1.1797203     0.43578920    
