KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
-999.00000     -999.00000    
 .00000000      .10277490    
 .14169240      .19529830    
 .32386810      .30988060    
 .50619830      .29515780    
 .67151920      .18537470    
 3.8027160      .20011270    
 7.7465400      .24965980    
 11.560040      .18020800    
 17.224610      .16621700    
 16.236720      .26260790    
 14.982360      .33158500    
 13.700580      .27957470    
 12.508730      .12858600    
 11.663620      .19654360    
 11.172500      .30826510    
 10.675360      .29479050    
 10.223370      .18561720    
 10.108930      .20737750    
 10.323950      .28782750    
 10.545630      .24862290    
 11.149150      .16595420    
 12.015480      .25854400    
 13.110620      .31740160    
 14.224310      .25062550    
 15.324830      .11179400    
 14.817710      .26603010    
 14.113730      .47626750    
 13.417360      .64312680    
 16.650920      .92991780    
 16.911000      1.0942930    
 17.142940      1.2293270    
 17.340760      1.3358850    
 17.519120      1.4066510    
 17.706690      1.4254990    
 17.892650      1.3914690    
 18.071640      1.3080090    
 15.324680      1.1080670    
 16.184320      1.0107200    
 17.041720      .86437260    
 17.860340      .67222240    
 18.618030      .44261640    
 19.363600      .19227100    
 18.744630      .95199310E-01
 16.582500      .11942760    
 16.643460      .13751930    
 15.726600      .22914310    
 14.697450      .46197940    
 13.627810      .68659310    
-999.00000     -999.00000    
-999.00000     -999.00000    
 .00000000      .26558610    
 .51116310E-02  .70528670E-01
-.11416150      .21458930    
-.38530630E-01  .28798050    
 .24954420      .23301270    
 .72838360      .38348010E-01
 4.5740880      .17968840    
 8.9530590      .20429580    
 13.267760      .37897210E-01
 17.404370      .75257380E-01
 16.535430      .26162860    
 15.400180      .31296660    
 13.978780      .22718630    
 12.531360      .44628660E-01
 12.763990      .20058280    
 12.390600      .27567290    
 11.386150      .22788140    
 10.083990      .38267610E-01
 10.087640      .19250600    
 10.303970      .26234720    
 10.570840      .16858780    
 10.766510      .73963420E-01
 12.268450      .25671140    
 13.421120      .29733330    
 14.539050      .19452470    
 15.317180      .68115050E-01
 14.952040      .30159460    
 14.480010      .49194800    
 13.961000      .62931450    
 13.275370      .72607480    
 12.947310      .79057500    
 12.794160      .84716530    
 12.834440      .91111710    
 13.050270      .98170040    
 13.523550      1.0421050    
 14.208570      1.0757990    
 15.037920      1.0702010    
 15.942100      1.0217070    
 16.870800      .92534710    
 17.778360      .78029070    
 18.619290      .58981060    
 19.357770      .36178110    
 20.020260      .11816670    
 18.628990      .73011380E-01
 16.685890      .10818980    
 16.541010      .24286360E-01
 15.132230      .23013340    
 13.906390      .47053410    
 12.813100      .69456190    
 15.379540      1.0060040    
 15.352150      1.2382440    
 .00000000      .24248870    
 .48808690E-01  .16375360    
 .21818810      .24089440    
 .50516990      .27930140    
 .80166130      .20422480    
 1.1065500      .11049900    
 5.0172710      .19205740    
 8.9185800      .18579120    
 11.229630      .11730530    
 12.932790      .14421370    
 10.785370      .24255500    
 10.722630      .27789740    
 11.686500      .21155670    
 13.393570      .14971250    
 14.134630      .21536630    
 12.919830      .25935850    
 10.931600      .20152900    
 8.6091790      .11281150    
 7.7448880      .19771960    
 8.1237820      .23078570    
 9.0557120      .15116580    
 9.5536670      .15220610    
 9.9200020      .23587780    
 11.163110      .25454930    
 12.882050      .19635920    
 13.946520      .21380550    
 13.970740      .38169470    
 13.715680      .53129190    
 13.356050      .63283020    
 12.777010      .69479420    
 12.454020      .73844130    
 12.346470      .78796340    
 12.463270      .85750040    
 12.800760      .93818630    
 13.405960      1.0079840    
 14.205820      1.0469230    
 15.126950      1.0436250    
 16.105940      .99331860    
 17.097000      .89238550    
 18.059640      .74215410    
 18.957940      .54905570    
 19.786490      .32867100    
 20.683240      .12879100    
 19.294620      .82548850E-01
 16.619790      .13126050    
 14.970390      .73128820E-01
 14.302390      .27992210    
 13.336900      .52219240    
 12.360060      .74316640    
 15.223820      1.0636790    
 15.240310      1.2915310    
 .00000000      .23650770    
 .88954720E-01  .17791360    
 .32605220      .24558590    
 .69650860      .27465330    
 1.0979390      .20436480    
 1.5226790      .14770320    
 5.2037090      .19992590    
 7.9522230      .20986620    
 8.4339010      .18265350    
 8.9313660      .15969390    
 8.5532820      .23317700    
 10.050240      .27697300    
 12.194730      .23048910    
 14.843220      .17323950    
 15.026350      .19778920    
 12.722660      .25099870    
 9.8241710      .21261800    
 6.6350920      .15773020    
 6.6675920      .18702130    
 6.9058370      .23086270    
 7.6783820      .19806000    
 9.2832800      .18647090    
 8.7093670      .21529660    
 10.284010      .25680270    
 11.899330      .26635860    
 12.954810      .33622710    
 13.189250      .45992170    
 13.080940      .56227830    
 12.809570      .62167790    
 12.047860      .64589010    
 11.681470      .66715570    
 11.559810      .71152160    
 11.681890      .78848430    
 12.101750      .88153900    
 12.814470      .96510830    
 12.894460      1.0196600    
 14.000460      1.0329020    
 15.218670      .99906220    
 16.505970      .91456400    
 17.814090      .77925320    
 19.003310      .59505080    
 20.041900      .37082890    
 21.370160      .12748590    
 19.369300      .14280190    
 16.046850      .13537350    
 13.751520      .11203400    
 12.318450      .35055480    
 11.193390      .55293830    
 10.149990      .72368310    
 10.759710      .91344000    
 10.366530      1.0681530    
 .00000000      .19501030    
 .13439180      .13025510    
 .48039380      .24967820    
 .93111310      .27516070    
 1.4406110      .18710590    
 1.9238750      .95016260E-01
 4.8856900      .21266980    
